damana,espanol,lema,fuente,notas
nujkunananka,yo tuve,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
mujkunananka,tú tuviste,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kunananka,él tuvo,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
naijkunananka,nosotros tuvimos,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
maijkunananka,ustedes tuvieron,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kakunananka,ellos tuvieron,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
nujkununka,yo tengo,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
mujkununka,tú tienes,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kununka,él tiene,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
naijkununka,nosotros tenemos,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
maijkununka,ustedes tienen,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kakununka,ellos tienen,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
nujkunanunka,yo tendré,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
mujkunanunka,tú tendrás,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kunanunka,él tendrá,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
naijkunanunka,nosotros tendremos,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
maijkunanunka,ustedes tendrán,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kakunanunka,ellos tendrán,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
nujkunanuñí,yo no tuve,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
mujkunanuñí,tú no tuviste,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kunanuñí,él no tuvo,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
naijkunanuñí,nosotros no tuvimos,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
maijkunanuñí,ustedes no tuvieron,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kakunanuñí,ellos no tuvieron,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
nujkunanún,yo no tengo,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
mujkunanún,tú no tienes,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kunanún,él no tiene,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
naijkunanún,nosotros no tenemos,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
maijkunanún,ustedes no tienen,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kakunanún,ellos no tienen,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
nujkunanún nanka,yo no tendré,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
mujkunanún nanka,tú no tendrás,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kunanún nanka,él no tendrá,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
naijkunanún nanka,nosotros no tendremos,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
maijkunanún nanka,ustedes no tendrán,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kakunanún nanka,ellos no tendrán,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
nujkunana negui namsi,yo quiero tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
mujkunana negui mimsi,tú quieres tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kunana negui amsi,él quiere tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
naijkunana negui naimsi,nosotros queremos tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
maijkunana negui maimsi,ustedes quieren tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kakunana negui ijkamsi,ellos quieren tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
nujkunanabi namtún,yo no quiero tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
mujkunanabi mimtún,tú no quieres tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
kunanabi amtún,él no quiere tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
naijkunanabi naimtún,nosotros no queremos tener,tener,VERBO TENER.docx,fuente escribe u/ü donde otras fuentes usan ʉ
