fuente,damana,espanol,notas
Frases para predicar,Ima video mʉjtushishʉnegi namsi,Te quiero mostrar este video,
Frases para predicar,Ima texto nʉjkasheshisha ushi,Léeme este texto,
Frases para predicar,Ima texto maijkasheshisha awʉnga,Les leeré este texto,
Frases para predicar,Ima texto mʉjkasheshisha awʉnga,Te voy a leer este texto,
Frases para predicar,Inguinka semanamba nakʉnga,Vengo la otra semana,
Frases para predicar,¿Zhinzhoma mʉntuka nanu?,¿Conoces los libros?,otra forma de preguntar ¿Sabes leer?
Frases para predicar,¿Masheshishka nanu?,¿Sabes leer?,
Frases para predicar,¿Buie tshijkoshkandzina nanʉnsana awʉnka?,¿Cuándo acabarán las guerras?,
Frases para predicar,Jehovága iʉl tshijkoshkandzina asisʉnka,Jehová acabará con los que pelean,revisar 'iʉl' contra la fuente
Frases para predicar,¿Kunkujshina naiwaka nanu?,¿Dios nos prueba?,
Frases para predicar,"Ijkʉnushi naiwaka, Jehová no. Ñingui azhi nʉnkawin Jehová naiwagún nʉnka","El diablo nos tienta, Jehová no. Con cosas malas Jehová no nos pone a prueba.",
Frases para predicar,Imamba uguana ushi,Piensa en esto,
Frases para predicar,Imaie nʉnka,Es como esto,para poner una comparación
Frases para predicar,Mʉngunashʉn nukurra ʉnkʉwinkumgurramba naia awega,Te estamos invitando para que vayas donde nos reunimos,
Frases para predicar,Naka ushi Biblia ingegua mʉlangʉma mimashaiega,Ven para hablarte poquito de la Biblia,
Frases para comentar,Ima texto guʉgai,Como dice este texto,
Frases para comentar,Jehova kashizha awazhingurra,Podemos orar a Jehová,
Frases para comentar,Jehova nainguneka awazhʉnga,Jehová nos puede ayudar,
Frases para comentar,Jehová bʉgui naigunga name,Porque Jehová nos quiere mucho,
Frases para comentar,Jehová bʉgui shinaijkʉndza,Jehová nos enseña mucho,
Frases para comentar,Ima Jehová shinaijkʉndza,Esto nos enseña Jehová,
Frases para comentar,Ima texto shinʉjkʉndza,Este texto me enseña,
Frases para comentar,Ima bʉgui anzhʉnga,Esto es muy importante,
Frases para comentar,"Jehová ima shinaikʉndza, memé name tujkua awakuaga","Jehová nos enseña esto, por eso debemos escuchar",
Frases para comentar,Memé name Jehová buiengua naimashún nantka,Por eso Jehová nunca nos dejará,
Frases para comentar,Nawinzhe kawandzinawin Jehová nainguneka,Jehová nos ayuda con nuestros hermanos,
Frases para comentar,Jehovámba we uguanakuaga,Tenemos que confiar en Jehová,
Frases para comentar,Jehovánzhe bʉgui anzhʉnga nʉnkurra,Somos importantes para Jehová,
Vocabulario reuniones,Kawandzina zumé naka múkuie,Bienvenidos hermanos,
Vocabulario reuniones,¿Nene asheshishʉnegi amsi?,¿Quién quiere leer?,
Vocabulario reuniones,¿Nene anduna asheshishega?,¿Quién quiere leer?,forma alternativa
Vocabulario reuniones,Zhintgui ushau zhamaiega,Pónganse de pie para cantar,
Vocabulario reuniones,¿Nene agʉñi?,¿Quién más?,
Vocabulario reuniones,Iwa wideo tunkurra,Ahora veamos el video,
Vocabulario reuniones,Iwa ʉnkashizhunkurra,Ahora vamos a orar,
Vocabulario reuniones,ʉmʉmsui ʉnkashizhega,Cierren los ojos para orar,
Vocabulario reuniones,Iwa bʉgui shindzunkurra,Hoy vamos a aprender mucho,
Vocabulario reuniones,¿Ñi shindzunkurra?,¿Qué vamos a aprender?,
Vocabulario reuniones,Iwa bʉgui shindzantkurra,Hoy aprendimos mucho,
Vocabulario reuniones,Jehová zen zhiguazhi nuka mawitʉjka,Jehová está contento por ustedes,
Vocabulario reuniones,Nawi zen zhiguazhi nukurra mawiwin,Estamos contentos con ustedes,
Vocabulario reuniones,Nawi zen zhiguazhi nukurra umba mʉnukuame,Estamos contentos porque estamos aquí,
Vocabulario reuniones,"Iwa ingui nʉnzhu nukurra, zukuega nʉnka","Hoy otra vez estamos juntos, qué bonito",
Vocabulario reuniones,¿Ima ñi shimʉjkʉndza?,¿Esto qué te enseña?,
Vocabulario reuniones,¿Ima ñi shimʉjkʉndza Jehová ingegua?,¿Esto qué te enseña acerca de Jehová?,
Vocabulario semana,Zumé naka múkuie,Bienvenidos,
Vocabulario semana,Jehová kʉnduna,Sírvele a Jehová,
Vocabulario semana,Naka andunai,Como él quiere,
Vocabulario semana,¿Ñi guashi nʉnka?,¿Qué significa?,
Vocabulario semana,Jesús ingegua,Acerca de Jesús,
Vocabulario semana,Ijkʉnushi naiwaga,El diablo nos pone a prueba,
Vocabulario semana,Kamke,Valle,
Vocabulario semana,Geie nʉnka,Es como el fuego,'ge' suena como 'gue' en español
Vocabulario semana,Ruamawin ingui nʉnai nʉnkawin,Con espíritu y verdad,
Vocabulario semana,¿Ñi shindzantkurra?,¿Qué aprendimos?,
