espanol,damana,notas
una o uno,shkua,
adiós,naiugá,
ahora,iwa,
él,na,
después,awemdzi,
feliz,zen zhiguana,
de nuevo,ingui,
tiene,kʉnʉnka,
a veces,iwinarru,
todo,kʉngui,
encima,ruamba,
entonces,awerru,
casi,iwata,
hola,zungui,
allí,mimi,
aquí,umba,
solo,ki,
ellos,ijkʉna,
como,ie,
o,kua,
cosa,ukuia,
y,ingui,
pequeño,akuiangʉma,
otro,ʉndua,
pensar,uguana,
porque,name,
en,mba,
nuestro,nawinzhe,
esto,ima,
es,nʉnka,
afuera,ujkunarga,
grande,aikuia,
conocer o ver,tua,
acerca de,ingegua,
pero,awashkʉ,
último,siga,
gente,shka,
abajo,wanarga,
poder,nanazhinga,
le gusta,andunga,
arriba,mandamba,
venir,naka,
amor,zhaguanama,
por favor,tshui nuguana ushi,
nosotros,nawi,
hacer,neka / awa / gawa,
mi,ranzhe,
mismo,iangui,
muchos,kuminsha,
muy,zhakʉjtsha,
encontrar,sʉgasha,
primero,kʉskʉna,
más,agʉñi,
¿qué?,¿ñi?,
la mayoría,iambamdzindzina,
alguno,nʉnkarru,
¿cuándo?,¿buie?,
amigo,kawa,
mucho,bʉgui,
¿dónde?,¿bigu?,
¿cuál?,¿bima?,
mío,ranzhe,
¿quién?,¿nene?,
¿por qué?,¿inzhué?,
ir,naia,
nunca,buiengua,
con,win / nʉn,
bueno,zumé,
nuevo,ʉmsi,
decir,guaka,
sí,on / akʉñí,
yo,ra,
gracias,zen zhiguarru,
tú,ma,
tuyo,manzhe,
así,memé,
ustedes,mawi,
año,kʉgui,
ayer,shaie,
ayudar,guneka,
caliente,tʉgui anzhʉnga,
calor,wi,
comida,zhama,
cerca,kʉjsuí,
día,dzuia,
corazón,duawiga,
cielo,katshijkiama,
verdad,nʉnai,
cocinar,dugua,
¿cómo?,¿inzhina?,
regalar,zhikawa,
descansar,ʉnkasesa,
diferente o malo,azhí,
dormir,kʉwa,
ese o esa,mema,
enfermedad,ukuama,
fuerza,dʉma,
joven,kuima,
lejos,nawaka,
mujer,mena,
hombre,terrua,
niño,duga,
niños y niñas,gʉmtshina,
mi hijo,ranzhʉngʉma,
hermana mayor,asi,
casa,urraga,
noche,shia,
en la tarde,shetazhi,
en la mañana,bukue,
me dice,nuguia,
te digo,muguia,
se le dice a él,uguia,
te quiero,muguarga,
¿de quién? (probable),¿nenenzhe?,sin traducción en la fuente; inferido del sufijo posesivo -nzhe (ranzhe/manzhe/nawinzhe)
