palabra_damana,frecuencia,candidatas_estadisticas,ejemplo_damana,ejemplo_espanol,espanol_propuesto,categoria,notas
"awantka",1592,"jehova | jesus | dijo | asi | rey","Naigʉntsha namba asheka shka minsha ñingui dzineka ukua, guama zukuega zumé kuaiega ingui Jehovága tushisha awantka bʉgui ugunga shkandzina (Salm 119:105; Lucas 1:3; 1 Juan 4:19).","Estamos convencidos de que en ella encontramos historia exacta, consejos confiables para la vida y pruebas conmovedoras del amor que siente Jehová por la familia humana (Salmo 119:105; Lucas 1:3; 1 Juan 4:19).","","",""
"ukuemdzi",460,"jehova | despues | dijo | entonces | jesus","Gogumantka nuka iba nanún nʉnka kintujkua awega, ganekʉnegi nanuemdzi guaka nekʉnka kʉskʉnangui zhanekantka ingui ukuemdzi zhaneka awantka.","Se ha hecho un esfuerzo especial para presentar esos relatos de manera clara, sencilla y, siempre que ha sido posible, en el orden en que sucedieron.","","",""
"awega",419,"jehova | jesus | dijo | asi | dios","Angunekʉnegi naimsi ʉndua tshijshindza awega nʉnai kʉnzhʉnga Kunkujshinanzhe bunguingʉmamba nuka. Memé nʉname zen zhiguazhi nukurra ima zhinzhoma maijtushisha","Nuestro deseo sincero es ayudar a otros a aprender las valiosas verdades que se hallan en la Palabra de Dios. Con ese propósito, nos alegra presentarles este libro: Lecciones que aprendo de la Biblia.","","",""
"nanantka",414,"jehova | jesus | gente | rey | tenia","Ima kangʉma zukuega bʉgui shoma kʉnʉnka nanantka, kʉndzinawin ingui zhigawigandzinawin.","Este jardín tenía muchas flores, árboles y animales.","","",""
"ukuashkʉ",411,"jehova | jesus | dijo | entonces | asi","˛ Jehovága go awantka kawandzina terrua menawin go ukuashkʉ gʉmtshina kakʉnana awega.","˛ Jehová creó la familia cuando hizo al hombre y a la mujer y les dio","","",""
"nanzhe",253,"jehova | jesus | dijo | discipulos | familia","Jehovága Adán kʉwanshisha awantka, ingui kʉjkʉla awʉrrʉ awantka nanzhe manambamdzi shkua mena kʉngo awega.","Así que hizo que Adán se quedara bien dormido y usó una de sus costillas para hacerle una esposa.","","",""
"nunkuame",241,"asi | jehova | dijo | jesus | dio","Memé nunkuame kangʉmamba jinumpana bʉgui zhama, kʉnzhiwandzina ingui shomandzinangua.","Así que la Tierra empezó a producir diferentes tipos de frutas, verduras y flores.","","",""
"kaia",211,"dijo | jehova | jesus | moises | dios","Ukuemdzi Jehovága kaia kʉskʉnangui ángel gontka: “Go ukuzhi shkandzina”.","Entonces, Jehová le dijo al primer ángel: “Vamos a hacer al hombre”.","","",""
"kʉ",173,"jehova | dijo | dios | todas | cosas","Ima zhinzhoma shizhakʉndzega Biblia ingegua kʉ kangʉmamba, neshún nunkurra.","Esta publicación se distribuye como parte de una obra mundial de educación bíblica que se sostiene con donativos. Prohibida su venta.","","",""
"zhaguasheka",163,"rey | reino | jehova | dijo | israel","José gumʉkʉndzinuka nukuashkʉ zhaguasheka faraón, Egipto zhana, kʉwarga anzhʉn awantka nenegangua kintujkuawí nʉnka.","Mientras José estaba en la cárcel, el faraón, rey de Egipto, tuvo unos sueños que nadie podía entender.","","",""
"ñingui",135,"jehova | cosas | dios | dijo | pueblo","Naigʉntsha namba asheka shka minsha ñingui dzineka ukua, guama zukuega zumé kuaiega ingui Jehovága tushisha awantka bʉgui ugunga shkandzina (Salm 119:105; Lucas","Estamos convencidos de que en ella encontramos historia exacta, consejos confiables para la vida y pruebas conmovedoras del amor que siente Jehová por la familia humana (Salmo 119:105; Lucas 1:3; 1 Juan 4:19).","","",""
