palabra_espanol,frecuencia_en_corpus,ejemplo_espanol,ejemplo_damana,damana_propuesto,notas
"jesus",222,"Veremos que Jesús nació en una familia con poco dinero que vivía en un pueblo y trabajó con su padre, que era carpintero.","Tua aunkurra Jesús kuaguma awantka ingui kawa bʉgui dzui kʉnanuntkandzina nukuamba ingui iba neka awantka anzhadewin, karpinteriamba.","",""
"dios",122,"Nuestro deseo sincero es ayudar a otros a aprender las valiosas verdades que se hallan en la Palabra de Dios. Con ese propósito, nos alegra presentarles este libro: Lecciones que aprendo de la Biblia.","Angunekʉnegi naimsi ʉndua tshijshindza awega nʉnai kʉnzhʉnga Kunkujshinanzhe bunguingʉmamba nuka. Memé nʉname zen zhiguazhi nukurra ima zhinzhoma maijtushisha awega: Shindza ushi shka Bibliamba zhanandzinanzhe.","",""
"israelitas",77,"En esta sección, leeremos la historia de José, Job, Moisés y los israelitas.","Ima kʉnkua zhinzhomanzhemba, asheshisha aunkurra José, Job, Moisés ingui israelitandzina ingegua.","",""
"moises",66,"En esta sección, leeremos la historia de José, Job, Moisés y los israelitas.","Ima kʉnkua zhinzhomanzhemba, asheshisha aunkurra José, Job, Moisés ingui israelitandzina ingegua.","",""
"preguntas",65,"Preguntas:","Zhishizha:","",""
"pueblo",56,"Más tarde, Jehová salvaría a su pueblo por medio de José, uno de los hijos de Jacob.","Ukuemdzi, Jehovága José angasha awantka nanzhe shkandzina ijkua awega, ingui Jacobnzhe anzhʉngʉma.","",""
"años",49,"Él y su familia tardaron unos 50 años en construirla, y la hicieron como Jehová les dijo.","Na ingui nanzhe kawandzinawin mema dzingo awega 50 kʉgi dzinukuantka, dzingo awantka Jehovága uguia ukuai.","",""
"jerusalen",45,"Jerusalén estaba en el reino de Rehoboam.","Jerusalén nukuantka Rehoboam zhaguashai nukuamba.","",""
"hijos",42,"Si usted tiene hijos, puede leer un capítulo con ellos, y juntos comentar las ilustraciones.","Ma gʉmtshina mʉkawa nʉnerru ijkʉnawin asheshisha mawazhʉnga shkua capítulo, ingui nʉnzhú nazhi guaka awega shetamorrandzinangua.","",""
"tenia",41,"Este jardín tenía muchas flores, árboles y animales.","Ima kangʉma zukuega bʉgui shoma kʉnʉnka nanantka, kʉndzinawin ingui zhigawigandzinawin.","",""
